round,stadium,home_team,home_score,away_score,away_team,year,pontos
19,Pacaembu,Corinthians,2.0,0.0,Atlético-MG,2009,0
20,Mineirão,Atlético-MG,2.0,2.0,Avaí,2009,1
21,Olímpico,Grêmio,4.0,1.0,Atlético-MG,2009,0
22,Mineirão,Atlético-MG,1.0,1.0,Sport,2009,1
23,Bruno José Daniel,Santo André,1.0,2.0,Atlético-MG,2009,3
24,Mineirão,Atlético-MG,2.0,1.0,Athletico-PR,2009,3
25,Aflitos,Náutico,0.0,0.0,Atlético-MG,2009,1
26,Mineirão,Atlético-MG,3.0,1.0,Santos,2009,3
27,Mineirão,Atlético-MG,2.0,1.0,Barueri,2009,3
28,Nilton Santos (Engenhão),Botafogo,3.0,1.0,Atlético-MG,2009,0
29,Mineirão,Atlético-MG,0.0,1.0,Cruzeiro,2009,0
30,Morumbi,São Paulo,0.0,1.0,Atlético-MG,2009,3
31,Mineirão,Atlético-MG,1.0,0.0,Vitória,2009,3
32,Maracanã,Fluminense,2.0,1.0,Atlético-MG,2009,0
33,Serra Dourada,Goiás,2.0,3.0,Atlético-MG,2009,3
34,Mineirão,Atlético-MG,1.0,3.0,Flamengo,2009,0
35,Couto Pereira,Coritiba,2.0,1.0,Atlético-MG,2009,0
36,Mineirão,Atlético-MG,0.0,1.0,Internacional,2009,0
37,Palestra Itália,Palmeiras,3.0,1.0,Atlético-MG,2009,0
38,Mineirão,Atlético-MG,0.0,3.0,Corinthians,2009,0
1,Mineirão,Atlético-MG,2.0,1.0,Vasco,2010,3
2,Prudentão,Prudente,4.0,0.0,Atlético-MG,2010,0
3,Mineirão,Atlético-MG,3.0,1.0,Athletico-PR,2010,3
4,Barradão,Vitória,4.0,3.0,Atlético-MG,2010,0
5,Mineirão,Atlético-MG,1.0,3.0,Fluminense,2010,0
6,Olímpico,Grêmio,2.0,1.0,Atlético-MG,2010,0
7,Mineirão,Atlético-MG,0.0,1.0,Ceará,2010,0
8,Arena do Jacaré,Atlético-MG,3.0,2.0,Atlético-GO,2010,3
9,Pacaembu,Corinthians,1.0,0.0,Atlético-MG,2010,0
10,Arena do Jacaré,Atlético-MG,1.0,2.0,Internacional,2010,0
11,Ressacada,Avaí,0.0,0.0,Atlético-MG,2010,1
12,Arena do Jacaré,Atlético-MG,0.0,1.0,Cruzeiro,2010,0
13,Nilton Santos (Engenhão),Botafogo,3.0,0.0,Atlético-MG,2010,0
14,Ipatingão,Atlético-MG,3.0,1.0,Guarani,2010,3
15,Vila Belmiro,Santos,2.0,0.0,Atlético-MG,2010,0
16,Maracanã,Flamengo,0.0,0.0,Atlético-MG,2010,1
17,Ipatingão,Atlético-MG,1.0,2.0,Palmeiras,2010,0
18,Serra Dourada,Goiás,1.0,3.0,Atlético-MG,2010,3
19,Ipatingão,Atlético-MG,2.0,3.0,São Paulo,2010,0
20,São Januário,Vasco,1.0,1.0,Atlético-MG,2010,1
21,Arena do Jacaré,Atlético-MG,1.0,0.0,Prudente,2010,3
22,Ligga Arena,Athletico-PR,2.0,1.0,Atlético-MG,2010,0
23,Arena do Jacaré,Atlético-MG,2.0,3.0,Vitória,2010,0
24,Nilton Santos (Engenhão),Fluminense,5.0,1.0,Atlético-MG,2010,0
25,Arena do Jacaré,Atlético-MG,1.0,2.0,Grêmio,2010,0
26,Castelão (CE),Ceará,0.0,0.0,Atlético-MG,2010,1
27,Serra Dourada,Atlético-GO,2.0,3.0,Atlético-MG,2010,3
28,Arena do Jacaré,Atlético-MG,2.0,1.0,Corinthians,2010,3
29,Beira-Rio,Internacional,1.0,0.0,Atlético-MG,2010,0
30,Arena do Jacaré,Atlético-MG,2.0,0.0,Avaí,2010,3
31,Parque do Sabiá,Cruzeiro,3.0,4.0,Atlético-MG,2010,3
32,Arena do Jacaré,Atlético-MG,0.0,2.0,Botafogo,2010,0
33,Brinco de Ouro,Guarani,0.0,0.0,Atlético-MG,2010,1
34,Arena do Jacaré,Atlético-MG,2.0,2.0,Santos,2010,1
35,Arena do Jacaré,Atlético-MG,4.0,1.0,Flamengo,2010,3
36,Fonte Luminosa,Palmeiras,0.0,2.0,Atlético-MG,2010,3
37,Arena do Jacaré,Atlético-MG,3.0,1.0,Goiás,2010,3
38,Morumbi,São Paulo,4.0,0.0,Atlético-MG,2010,0
1,Arena do Jacaré,Atlético-MG,3.0,0.0,Athletico-PR,2011,3
2,Ressacada,Avaí,1.0,3.0,Atlético-MG,2011,3
3,Arena do Jacaré,Atlético-MG,0.0,1.0,São Paulo,2011,0
4,Pituaçu,Bahia,1.0,1.0,Atlético-MG,2011,1
5,Arena do Jacaré,Atlético-MG,2.0,2.0,Atlético-GO,2011,1
6,Nilton Santos (Engenhão),Flamengo,4.0,1.0,Atlético-MG,2011,0
7,Arena do Jacaré,Atlético-MG,0.0,4.0,Internacional,2011,0
8,Presidente Vargas (CE),Ceará,3.0,0.0,Atlético-MG,2011,0
9,Arena do Jacaré,Atlético-MG,2.0,0.0,América-MG,2011,3
10,Vila Belmiro,Santos,2.0,1.0,Atlético-MG,2011,0
11,Ipatingão,Atlético-MG,1.0,2.0,Vasco,2011,0
12,Ipatingão,Atlético-MG,1.0,0.0,Fluminense,2011,3
13,Canindé,Palmeiras,3.0,2.0,Atlético-MG,2011,0
14,Olímpico,Grêmio,2.0,2.0,Atlético-MG,2011,1
15,Ipatingão,Atlético-MG,1.0,2.0,Figueirense,2011,0
16,Couto Pereira,Coritiba,3.0,0.0,Atlético-MG,2011,0
17,Ipatingão,Atlético-MG,2.0,3.0,Corinthians,2011,0
18,Nilton Santos (Engenhão),Botafogo,3.0,1.0,Atlético-MG,2011,0
19,Arena do Jacaré,Atlético-MG,1.0,2.0,Cruzeiro,2011,0
20,Ligga Arena,Athletico-PR,0.0,1.0,Atlético-MG,2011,3
